ObjectID,X,Y
1,12.089887782199357,46.15280476471158
2,88.38979983850132,31.187407430929394
3,74.9104025763505,79.51240666184603
4,50.243141666225966,52.594668613895166
5,9.112868595767946,20.55289310056408
6,31.740156851841466,29.07041944879356
7,60.94654400157321,59.79743460645199
8,60.1739809278896,62.98761933197793
9,85.70531835147148,57.66409708037512
10,85.68057854982587,43.792908934368924
11,43.76223208068886,29.372192433991064
12,42.52508029047251,48.42362322889049
13,42.170839499820886,49.82813490506802
14,39.886094157507834,33.68544591037377
15,87.92522640812615,65.46344905928775
16,89.96337474956157,60.06161291063449
17,55.01426545214694,46.565969600594464
18,66.69235102467272,80.39075543299803
19,97.45801571473382,54.67016913402966
20,67.46298336139908,78.4863609977499
21,47.323931610820374,28.259343695267468
22,46.296841382641176,30.543898548409555
23,8.976878206758526,29.74256657964544
24,51.6748694282831,67.75422785036157
25,48.18841143717704,45.45214307940595
26,47.800802946041024,34.74756467212584
27,66.41779149199536,21.438450874687206
28,82.48614944292537,50.382912276557335
29,53.06096518563093,25.010264958745708
30,79.43640170110386,29.408624853835484
31,69.42603191598013,78.74887560504132
32,71.28687993071361,79.09496606617523
33,46.3537858173812,47.44098579930926
34,56.71274834191,48.54069366456812
35,62.67845938066693,41.12105951534653
36,61.43160234952304,47.88098213910301
37,60.073374782022306,47.15348732223977
38,96.18142418254136,47.084502884670826
39,67.13884260673905,36.998509473886976
40,46.13831694320898,43.786905211878825
41,54.96499909241277,67.83268370621127
42,57.552214391235125,72.24642816787578
43,51.91281675103922,63.64495597556497
44,0.0,15.427981050326794
45,45.86546572613338,50.24009652723209
46,88.66067923096047,76.82398772579093
47,64.56777116031543,75.47204275898977
48,47.26563693259973,59.790755561589734
49,52.89327518115804,46.1549449773182
50,45.97572955622716,61.024986076474654
51,78.0037670658738,81.6663920482374
52,46.21225177697567,45.43916640406102
53,74.46352973312845,63.97705473868013
54,61.09173893070843,45.62542359525359
55,47.7976659020344,24.139434872359274
56,72.97488965560115,55.84116038582362
57,73.60328958136924,58.00728565996502
58,80.90861819898643,75.62046379893535
59,65.60671561747269,74.46414329990742
60,67.83395142587267,73.9490380745691
61,57.83877533524292,43.25471527025324
62,55.77848129269051,41.54767088108293
63,67.61506447735476,44.371777155033676
64,93.66991186466404,60.02794982782039
65,48.32093818532541,47.23134743217241
66,47.8516205363961,48.623269921393295
67,42.60851266519923,32.197588765967026
68,45.3855037548438,57.270820610497
69,61.75800109868894,73.05112384910079
70,71.19953239462309,60.15019642088819
71,57.76636587713945,37.05189220060981
72,60.54081739771191,38.936719336179756
73,82.45074719424377,58.17061485535993
74,67.18387262776194,68.06904380344928
75,56.63133068365697,64.93844359154046
76,69.34682775460466,39.36328160451002
77,65.63862306536991,41.71918089852428
78,68.26111864372585,75.58110883514215
79,48.08158255433228,53.151659292181954
80,58.750628912352134,50.90756493307905
